enum_name,enum_value
candidate_stage,applied
candidate_stage,phone_screen
candidate_stage,interview
candidate_stage,technical
candidate_stage,final
candidate_stage,offer
candidate_stage,hired
candidate_stage,rejected
experience_level,entry
experience_level,mid
experience_level,senior
experience_level,executive
import_status,pending
import_status,processing
import_status,completed
import_status,failed
import_status,cancelled
import_type,candidates
import_type,jobs
import_type,both
interview_status,scheduled
interview_status,completed
interview_status,cancelled
interview_status,no_show
interview_type,phone
interview_type,video
interview_type,in_person
interview_type,technical
job_status,draft
job_status,open
job_status,closed
job_status,on_hold
job_status,filled
job_type,full-time
job_type,part-time
job_type,contract
job_type,freelance
job_type,internship
message_priority,low
message_priority,normal
message_priority,high
message_priority,urgent
message_type,general
message_type,interview
message_type,application
message_type,team
message_type,internal
message_type,client
message_type,candidate
message_type,system
org_role,owner
org_role,admin
org_role,hiring_manager
org_role,recruiter
org_role,interviewer
org_role,viewer
organization_role,owner
organization_role,admin
organization_role,recruiter
organization_role,viewer
organization_role,hiring_manager
organization_role,interviewer
record_status,active
record_status,inactive
record_status,demo
remote_option,onsite
remote_option,remote
remote_option,hybrid
user_role,hiring_manager
user_role,recruiter
user_role,admin
user_role,interviewer
user_role,demo_viewer
user_role,platform_admin
user_role,user