schema_name,enum_name,label,enumsortorder
public,candidate_stage,applied,1
public,candidate_stage,phone_screen,2
public,candidate_stage,interview,3
public,candidate_stage,technical,4
public,candidate_stage,final,5
public,candidate_stage,offer,6
public,candidate_stage,hired,7
public,candidate_stage,rejected,8
public,experience_level,entry,1
public,experience_level,mid,2
public,experience_level,senior,3
public,experience_level,executive,4
public,interview_status,scheduled,1
public,interview_status,completed,2
public,interview_status,cancelled,3
public,interview_status,no_show,4
public,interview_type,phone,1
public,interview_type,video,2
public,interview_type,in_person,3
public,interview_type,technical,4
public,job_status,draft,1
public,job_status,open,2
public,job_status,closed,3
public,job_status,on_hold,4
public,job_type,full-time,1
public,job_type,part-time,2
public,job_type,contract,3
public,job_type,freelance,4
public,job_type,internship,5
public,message_priority,low,1
public,message_priority,normal,2
public,message_priority,high,3
public,message_priority,urgent,4
public,message_type,general,1
public,message_type,interview,2
public,message_type,application,3
public,message_type,team,4
public,organization_role,owner,1
public,organization_role,admin,2
public,organization_role,recruiter,3
public,organization_role,viewer,4
public,record_status,active,1
public,record_status,inactive,2
public,record_status,demo,3
public,remote_option,onsite,1
public,remote_option,remote,2
public,remote_option,hybrid,3
public,user_role,hiring_manager,1
public,user_role,recruiter,2
public,user_role,admin,3
public,user_role,interviewer,4
public,user_role,demo_viewer,5