table_schema,table_name,relkind,rls_enabled,rls_forced,policy_count
app_meta,pg_timezone_names_mv,m,false,false,0
app_meta,schema_columns_mv,m,false,false,0
auth,audit_log_entries,r,true,false,0
auth,flow_state,r,true,false,0
auth,identities,r,true,false,0
auth,instances,r,true,false,0
auth,mfa_amr_claims,r,true,false,0
auth,mfa_challenges,r,true,false,0
auth,mfa_factors,r,true,false,0
auth,one_time_tokens,r,true,false,0
auth,refresh_tokens,r,true,false,0
auth,saml_providers,r,true,false,0
auth,saml_relay_states,r,true,false,0
auth,schema_migrations,r,true,false,0
auth,sessions,r,true,false,0
auth,sso_domains,r,true,false,0
auth,sso_providers,r,true,false,0
auth,users,r,true,false,0
cron,job,r,true,false,1
cron,job_run_details,r,true,false,1
net,_http_response,r,false,false,0
net,http_request_queue,r,false,false,0
public,_job_candidate_stage_shadow,r,true,false,4
public,ai_insights_cache,r,true,true,5
public,ai_insights_metrics,r,true,true,5
public,ai_recommendations_history,r,true,true,5
public,application_metadata,r,true,false,0
public,applications,r,true,false,5
public,apply_events,r,true,false,0
public,beta_applications,r,true,false,6
public,beta_users,r,true,false,0
public,cached_timezones,m,false,false,0
public,candidate_notes,r,true,true,13
public,candidates,r,true,true,10
public,clients,r,true,true,3
public,daily_analytics_snapshots,r,false,false,0
public,data_imports,r,true,false,3
public,email_events,r,true,false,2
public,email_signups,r,true,false,2
public,email_templates,r,true,false,4
public,import_records,r,true,false,3
public,interviews,r,true,false,5
public,job_candidate,r,true,true,14
public,job_pipeline_stage_events,r,true,false,2
public,jobs,r,true,true,6
public,message_recipients,r,true,false,2
public,messages,r,true,false,4
public,mv_candidate_sources,m,false,false,0
public,mv_client_performance,m,false,false,0
public,mv_dashboard_analytics,m,false,false,0
public,mv_dashboard_snapshot,m,false,false,0
public,mv_function_metadata,m,false,false,0
public,mv_pipeline_metrics,m,false,false,0
public,mv_recruiter_performance,m,false,false,0
public,mv_skills_analysis,m,false,false,0
public,mv_skills_analytics,m,false,false,0
public,mv_time_to_hire,m,false,false,0
public,mv_timezone_names,m,false,false,0
public,notes,r,true,false,0
public,organization_email_settings,r,true,false,3
public,organizations,r,true,true,7
public,pipeline_columns,r,true,false,2
public,report_queue,r,false,false,0
public,report_schedules,r,false,false,0
public,schema_migrations,r,true,false,0
public,stage_order,r,true,false,4
public,timezone_cache,r,true,false,0
public,user_organizations,r,true,true,10
public,user_profiles,r,true,false,6
public,user_settings,r,true,false,0
realtime,schema_migrations,r,false,false,0
realtime,subscription,r,false,false,0
storage,buckets,r,true,false,0
storage,buckets_analytics,r,true,false,0
storage,migrations,r,true,false,0
storage,objects,r,true,false,10
storage,prefixes,r,true,false,0
storage,s3_multipart_uploads,r,true,false,0
storage,s3_multipart_uploads_parts,r,true,false,0
supabase_functions,hooks,r,false,false,0
supabase_functions,migrations,r,false,false,0
vault,secrets,r,false,false,0