tablename,rls_enabled
_job_candidate_stage_shadow,true
ai_insights_cache,true
ai_insights_metrics,true
ai_recommendations_history,true
application_metadata,true
applications,true
apply_events,true
beta_applications,true
beta_users,true
calendar_events,true
campaign_email_sends,true
campaign_emails,true
candidate_campaign_enrollments,true
candidate_documents,true
candidate_notes,true
candidates,true
client_submissions,true
clients,true
connected_accounts,true
daily_analytics_snapshots,true
data_imports,true
drip_campaigns,true
email_events,true
email_signups,true
email_templates,true
import_records,true
interviews,true
job_candidate,true
job_candidate_stage_history,true
job_pipeline_stage_events,true
jobs,true
message_recipients,true
message_threads,true
messages,true
notes,true
oauth_sessions,true
organization_email_settings,true
organizations,true
pipeline_columns,true
report_queue,true
report_schedules,true
schema_migrations,true
stage_order,true
tasks,true
timezone_cache,true
user_organizations,true
user_profiles,true
user_settings,true
workflow_execution_log,true
workflow_triggers,true